Text,label
"absolutely enjoyable singing and dancing movie starring frank sinatra and gen kelly, as well as kathryn grayson.the film won and oscar for george e. stoll's score, and it garnered nominations for best picture, best actor for kelly, and best cinematography, as well as a best son nomination for i fall in love too easily sung by sinatra.it was a cute story about kelly helping his pal sinatra get a girl and falling in love with her himself. the lovely grayson the toast of new orleans dazzled us with her singing, and we had a lot of great songs and dance routines by kelly and sinatra, as well as the artistry of pianist conductor jos iturbi.a classic hollywood music from an era gone by.",1
"when i saw this movie, i couldn't believe my eyes. where these hilarious creatures, dustbin muppets with big pointy teeth, really meant to be scary? or where they designed to have a good laugh i sincerely hope so . if you watch carefully you can even see the strings operating them better dragging them across the screen . the whole was rather funny than scary and i had a good time watching the movie because i was amazed by its overall incapacity to have only one good part. it is one big joke from beginning to end and i believe this movie belongs into a new category so unbelievable crappy you'll be laughing from beginning to end. i'm not even gonna try to comment on the acting or all the other things",0
"whatever happened to keaton is what i want to know.actually i don't, i crawled away, heaving, thinking she must owe half the bookies in vegas, or maybe not, maybe she was just brainwashed, blackmailed and bored to death. rich enough to adopt a third world country, she somehow had to star in yet another cookie cut, clich ridden drool'athon, based on the same character franchise she's been rehashing since 'father of the bride' '91 . you'd think she's going head to head with mr.bean. spoilers so hubby dax get's fired by obnoxious son of boss, his mom keaton leaves his dad after classic row, and crashes over with her own dog show in tow, oh those little rascals. hubby's got cold feet for diaper duty, wifey's clock a ticking and hey, let's toss in a space cadet as second house guest for good measure, all in one day because that's so funny and original. wife gets fed up and walks away, mom leaves dad for space cadet and the couple makes up in time for closing credits, 86 very long minutes later.now if you have to have a space cadet, he can't be devious as well, he can't scheme some excuse for his stayover, and if mom leaves dad, she can't hop into a cab dressed as a pumpkin just because some scriptwriter agonized over how to cheer thing up. plus that gag whereby they invite her in only to then discover she's got her canine entourage in the cab has got to be outlawed by now. and you only get one obnoxious 2 dimensional boss to denigrate. another movie killer would be the movie script the space cadet is toiling away at, supposedly more lame than the actual one, again, dejas ad nausea.liv tyler doesn't seem happy here, her voice was weird at times, it had me wondering if they later had her redub some of it, and she's a smart one, she's handled great roles and we'll forgive her for jersey girl, it was disaster prone, could happen to anyone. dax shepard was watchable and that's being generous considering the material.personally, it's the director, the screenwriters and especially the producers that i would love to see tar'n'feathered before shipped to guantanamo as playthings for the prisoners, and that's me keeping this 'lite'.",0
i working really hard to find a substitute for hard work,1
"the late shift is a great book, i read the book several years ago, and i was transfixed at the cutthroat debauchery that went on when johnny carson retired and jay leno and johnny carson tried to grab his spot. when the movie came out, i snagged a vhs copy of the movie, and having reread the book recently, it's hard to say which i enjoy more, because they're quite equal in the amount of information conveyed. the two lead actors, john michael higgins, and daniel roebuck, two actors i never heard of before, and haven't heard of since, play leno and letterman convincingly, despite letterman's dismissal of his portrayal as being poor. they play the parts quite well, despite a lot of people looking for an imitation of the two. i wasn't as interested in that. the story is what counts. and that brings me to kathy bates. kathy bates, playing helen kushnick, is this movie. she plays this evil bitch of a character so menacingly you realize how on earth can this woman control herself, much less a national tv show. yikes! there should be a sequel!!",1
"these were a nice surprise.. very crunchy, and with a definite corn flavor even thought there are all those other great grains i.e. brown rice flour, flax seeds,sunflower seeds, and quinoa. i nice healthy snack that you don't' have to feel guilty about eating or sharing with you child. if you give this to them they will never guess it really is good for them.. i love that. what we did with some of them is use them as a cracker with a healthy hummus dip. great on movie night. will definitely look for these again.",1
"it's delicious! but it's quite greasy, i reaaally liked the honey bbq and blt, the jalapeno couldve been spicier but it was still delicious! definitely would order again.",1
"the plainsman is an entertaining western, no doubt a classic, which is actual even today. gary cooper is wild bill hickok, ideal for the role, together with john wayne and james stewart, they were the best actors that played western heroes in their generation. jean arthur is great as calamity jane, nobody that i know played it better than her. even if might not be historically accurate, the film manages to capture the most important about hickok and about the time it takes place. sometimes you have to sacrifice history to make your point and that is what demille does here. the friendship of hickok with buffalo bill, the selling of rifles to the indians by a great manufacturer to compensate for the losses he would have because of the end of the civil war, custer and little big horn, the uneasy relationship between buffalo bill's wife, a religious woman, with hickok a man who had killed plenty, also the unusual love affair between hickok and calamity all this makes 'the plainsman' a non conventional and interesting film. anthony quinn has a very short appearance, that already shows what a great actor he was going to become. a lot of care was taken to show the original guns of that time.",1
"if you can get past the fact that this does not arrive in any form of a package with the picture that is shown your good! if you are looking for a great assortment of flavors that would be impossible to get all on your own...then this is for you too. i was very pleased with the assortment, and how fun to go through and pick your flavor to try each time. i purchased this for myself since my huband is more loyal to only one plain flavor k cup and i like variety.",1
lol well u had a clue i was trying to move. but it became official this morning. i'm pretty stoked for this new level.,1
"much better than it is generally given credit for, this version of lost horizon not only had great music and beautiful scenery, but also some stunning mountain photography. a special edition laser disc was released some years ago which added more than 30 minutes of previously deleted material, extra music, and lots of bonus material. so why isn't this on dvd?! hard to figure the studios out sometimes. certainly the roles could have been given to people who could sing better than peter finch, liv ullman, george kennedy and sally kellerman, but what do you want in a movie, good acting or melodious pipes? song and dance man bobby van is great fun, michael york is a suitably tragic villain, and seeing sir john gielgud decked out as chang may sound silly but actually works very well on screen. trust me, you need to check this movie out if you can find it!",1
haha. how amazing would that be. let's do it. scratch that. lets just move to vegas.,1
"me get to sleep faster, and i actually feel better when i get up, so i really like this.",1
"although i lived in australia in 1975, i moved overseas not long after, fed up with constant industrial unrest, the general worship of mediocrity unless one is a sportsman! and the complacency of so many australians who chose to ignore the breakneck pace of change taking place in countries to their north. consequently i missed the dismissal, along with many other australian made tv dramas of the '80s and '90s, such as the superb janus and phoenix series, which i have since seen, along with wildside.to me the filmed story of the dismissal is fair and, as far as i am aware, accurate. however, as to public outrage it only shows one side of the picture, not how families were riven by the controversy. i know, as my two brothers would not speak to me for months afterward. but the commentary is, in my view, very one sided throughout. the inescapable fact is that, notwithstanding fiery expressions of rage from a substantial proportion of the community, the australian electorate chose and chose decisively in favour of fraser, as they did again two years later. this apart, a historically accurate and superbly well acted docudrama.",1
"i admit it now. this is one of the lamest films ever made. but, in mr sjogrens defense, the not really scene wasn't all bad! and you gotta love the effort of going all the way to sweden just to find a sweet swedish 15 year old blonde, have her speak swedish posing as the jewish mother of henry dennis hopper . what makes this scene so perfect is that henrys father answers the blonde swedish speaking jewish? girl in german... the best actor actress of all in the film must be the nun who takes care of henrys mother, this is a woman who has had no experience whatsoever of acting, but still puts in the most convincing performance of all!all and all, this flick is nostalgia for me personally, it is after all what gave me a posting on imdb s database. d feelin like a movie star",0
"i ordered this as a christmas present. when we opened it we found out that you need about 200 worth of equipment to make this. i am an amateur beer maker and thought this would be alot of fun. when you order extra there it says refill kit. that is exactly what this is! a refill kit!!! this advertising is extremely deceptive. it also says nothing about all the extra equipment you will need, so here are the thing you will need to buy primary fermentor food grade plastic 30 little capacity. carboy 23 liter glass or food grade plastic racking tube and siphon hose hyrometer, thermometer, and test jar long hadled plastic spoon bottle brush bottle corker filter and filter pads from a wine retailerand now you are ready to go!!!",0
i wanted to get more fiber in my diet and greatly reduce my sugar intake. i love the fact that this cereal has no sugar and lots of fiber. i add cinnamon and a little bit of truvia natural calerie free sweetner and this becomes a real treat!,1
"stuffed sole ok good taste and texture. fllet mignon a misnomer or a deception tasteless and bears little resemblance of the photograph not nearly as thick. hamburger tasteless, fat and containing bone and cartilege fragments! my mouth still feels greasy an hour after eating it.",0
"the best so bad it's good movie ever made. rudy ray moore is my personal hero. whether dealing with day to day life or pimping ho's down the block, i can always look to him for inspiration and guidance. when it comes to blaxploitation, rudy's the man. nobody is meaner. watch dolemite as he and his army of all female kung fu killers take down mr. big and willie green. awesome plot, huh? there are so many one liners that multiple viewings are necessary to improve your vocabulary. if you say a couple of lines from dolemite, you are instantly cool. if you are in the mood for a laugh riot, rent this movie. also check out the human tornado, disco godfather, and petey wheatstraw the devil's son in law. now, can you dig that? you no business barring, insecure, rat soup eating, motha!!'",1
"just watched this after my mother brought it back from america for me, was dreading watching this after all the negative comments on here but i have to say, yes the acting is cheesy, some of the effects are laughable.but you have to remember this was meant to be 1898 not 2005, and for such a low budget i thought it was quite good. i enjoyed this version much more then the spielberg version i saw last week.i have read the book so many times, and found myself going ahh yes that's in the book almost all the time, with the other version hardly anything of the book existed.so well done for at least trying to make a true version.",1
"buy it! if you have problems with ance, blesmishes, bumps etc then you need to buy it. it brightens your skin and smooths out the texture. the amazing part is that you see immediate results! by immediate i am talking about overnight! drink it and you will wake up glowing with clear, bright beauiful skin! i have suffered from acne since i was 11 years old. at 35 years old, i can honeslty say this tea works beauiful miracles!",1
"this is, for different reasons, a very very bad action movie. first of all, seagal is terribly out of shape. he looks old and fat, plays like he has to fulfill an annoying obligation and his fight scenes require creative editing or plain replacement. secondly, his opponent is a very weak villain. this is about a smart and mean masterbrain and chestnut does not deliver. so what about the action ? well, the two parties permanently shoot at each other in different locations of the alcatraz jail. they shoot wild and bad, because compared to the amount of required ammunition, the bodycount is rather low. there is nothing to save this movie. there is not a single good line and not a single good joke. the little psychological interlude with 49er one and judge mcpherson is ridiculous. so what does it have? well, the usual bell helicopters, silhouettes moving in blue light and slow motion, doors riddled with bullets and 1000 watt lights shining through the holes, characters jumping through the air while shooting, loads of weapons coming from nowhere, a long black coat containing a bold black guy and a thin wooden box containing 25 tons of gold. the pain continues to the very last take, a hopeless approach to lighten up the closing credits. californian beachboy don michael paul was writing and directing. at least this mountain of boredom comes from just one simple mind.",0
"i was reviewing some old vhs tapes i have and came across the tv show john denver the muppets a christmas together.this made me go to my computer and look it up to see if i could find a dvd version of this show to buy. i was disappointed not to be able to find it yet on dvd. the show aired in 1979 and was a delightful show. i have the record and the cd but i would love to buy a dvd version of this show. the tape is old and picture quality is pretty good but fading, the sound is not as good as the cd. there is also a few other songs not put on the cd. as a fan of john denver and of the muppets, a dvd of this show would really be a good seller. if you don't have the cd it is a wonderful chritmas collection of songs taken from that show. the album is also good if you can find it and still have a record player to play it on.",1
"one thing that came across to me in watching this film is that it was fun exciting for the cast and crew i could sense that they were going up against the budget constraint with enthusiasm dedication because they apparently liked the people involved. i tend to like b movies that are original and have heart, and i think this is one such work. the actors seem to me to be putting there hearts in it more than usual, maybe because of some good direction from the lead actress director, and they evidently were clear enough in their parts of the story to make a coherent, watchable piece of art. the critiques of this film that more or less say, why not just rent a hardcore porn movie, make the point as to why they didn't like the film. going to this film hoping for a lot of t a without patience for the material of the plot is why it is so unenjoyable for them. one could say the movie is more of a romantic work than a softcore porn movie, even though i take it the star has done her share of soft porn. i think she graduated. in terms of the writing, the dialog is not a huge part of the movie, like in a tarentino film, but the plot is decent and the twists are original and sometimes fun. particularly the ending is not a disappointment but a pleasure, with the villianess heroine and the leading man learning from their complex web of feelings. i understand that the producer got a 3 film deal out of this. hats off for proving a few tens of thousands of dollars can go pretty far if you have some artistic sensibility and pride. gabriella and the other girls with scenes of nudity were likable along with being hot, not just airhead bimbos, so as an erotic science fantasy piece with some gorgeous nude art, even with the limits of b movie land, not disappointing.",1
"i am a huge amy adams fan and have been for many years. i am also a big fan of musicals. with that said this is not a good movie on any level. it is quite dull and the acting overall is very very poor. amy adams is awkward to watch act with scott g. anderson due to the fact that she is in another league when it comes to acting. all the performances come off as very amateur. the music performances are pleasant, but nothing special. scott g. anderson is just an bad actor! i assumed he was put in this movie because he has a great voice, but it's just not the case. he has an average voice and sings on key, but that's about it.i guess i can see why amy adams did this movie with the singing element i just wish she had not. i could rant about other poor elements of this movie, but i'll leave it at that.",0
finally home i guess that's what happens when you live and work on the same side of the island p. night tweeps...god is love.,1
"i ordered this product based on good reviews like 2 months ago and i really loved it and i ordered another 3 pound bag a month later, the second bag was just not right, i thought i must be a bad batch or something because it had more green shells in it and the seeds looked more brownish, it had this bitter burning taste. i called amazon and they said they would send me another i really did not wanna give up on it so i wanted to try another , same thing. i called again and they said they would send me another just to make sure that it was not a fluke. i got the bag 2 days ago and the same thing finally i gave up on it. i will look in to another brand. i am really curious if other people are having the same issue..",0
"follow , they're amazing. i love them",1
"i read the reviews and took my chances and bought a bunch. i am so disappointed by the sweet, lacquered chinese bbq pork like beef jerky with an overwhelmingly raw garlic chili favor. yes, the pieces are moist but in a preserved radish way with smallish, flattened pieces. it just doesn't have the premium beef jerky heft where you can separate the pieces along the grain. don't expect premium beef taste and texture but rather a product processed more in the chinese restaurant baking soda, tenderized fashion. i truly regret my purchase which i probably couldn't give away.",0
"i love toffee so i was super excited to give this matcha a try. i have to say this was a great choice for my first matcha from red leaf tea. you can find more information about this beauty and order some for yourself here ... first off, the scent when you open the pouch is of creamy, rich caramel toffee. i was concerned that the color of the matcha would have been muddied a bit with the addition of flavoring, but luckily the matcha is a beautiful, deep green. i love that there are no artificial flavorings added to this tea because the color of matcha is definitely part of my overall experience. i don't have a sifter so i was worried that the matcha might be a bit clumpy, but it was perfectly smooth! after brewing this up without additions, it gives a pretty good froth. the flavor is primarily of lightly sweet toffee, but the matcha is not lost against the flavoring. however, there isn't any edge of bitterness like you usually get with unflavored matcha. if you are new to matcha or don't really enjoy the bitterness it can have, i highly suggest this company and flavor.although the matcha was good without additions, i wanted this flavor as a dessert replacement. next up, slightly sweetened matcha latte! i added just a teensy bit of sugar and a splash of milk into my chawan of matcha. yum! this is pretty amazing! it is just like drinking matcha while eating a big hunk of toffee. this is definitely a great dessert replacement! wow! is the only word that truly describes this flavor accurately. this is my first flavored matcha and it definitely will not be my last.i also want to add that my order was sent out quickly and i received both an email after submitting my order and after it shipped with tracking information. i'm very happy with the service i've received from red leaf tea. i will certainly be ordering from this company again.while this is delicious to drink, i'm already planning how i can use this english toffee matcha to bake with. i think that this would be amazing in a buttercream icing and equally good in cupcakes or really any type of baked good. this would also be great incorporated into some whipped cream and used to top fresh fruit or angel food cake.",1
"after finding out my toy shih tzu was allergic to practically every dog food, i tried this. not only is he not allergic to it, he loves it! he finishes every last morsel. he has been eating this product for over 6 months and i am thrilled with it.",1
we buy these by the case for our dogs. they are a healthy treat and the dogs love them. they are somewhat soft so the old dogs with no teeth can also enjoy them.,1
i ordered this thinking it would have the same wonderful character of the regular peri peri sauce. wrong! the off taste is rather putrid to say the least. i had to throw it away.,0
ow!,0
"i accidently stumbled across this cereal at a store in a nearby town and decided to try it but really didn't expect i would like it. because i enjoy a food plan that doesn't allow any type of flour i was just going to check it out. i was pleasantly surprised to discover that uncle sam's cereal fit my requirement for no flour and suprisingly it also had an excellent taste.my favorite way to eat it is with plain yogurt, a no calorie sweetener and a serving of fruit. it makes a great breakfast but i have also used it as an evening desert or snack.now not only can i enjoy it, i can also have it delivered right to my door without having to drive to a distant town specifically to buy it and hope the shelf isn't empty.",1
"i would have given it a 5 star just as any other easy to use, saves countertop space, less mess to wash... if not for the steamer function that has just died after 8 months!",0
i've used degree deodorant not anti perspirant for many years because it was one of the few remaining products that does not contain aluminum. i came here to buy a 6 pack just to stock up but reading these reviews i had a revelation. for years while using this product i have suffered from an occasional underarm rash that i actually chocked up to chafing due to a lack of the product on my body. rash chafing so i must need more degree applied! obviously i misread the symptoms and see that i too have suffered a rash caused by this product and have so for years. i found that arm hammer has a new essentials product that is also aluminum free as well as silver free that not only smells better but lasts longer and causes no rash. my eyes have been opened and i have made the switch.,0
"i can't remember when was the last time i have been so terribly disappointed by any movie. probably i expected too much happening in a way you can expect action in dogma style movies of course . but there is just nothing going on in here. luckily i was watching it at home and could switch channels whenever the silence and dumb numb faces started to kill me. and that was very often! it really isn't too much of a pleasure watching ugly people who don't talk and move slowly, stroke pigs and french kiss men, not to mention ugly bodies having explicit sex. if only it made any sense... the whole murder situation is ridiculous seems like it was only created to show one more vagina since zero characters are capable of actually solving the crime. having only four pseudo developed characters and a movie going nowhere it is pretty soon obvious whom the director picked as a killer. and that makes no sence either. despite all the boredom and suffering i must admit that it somehow touched me in an unexplainable way. maybe you should check it out yourself though i don't recommend it.",0
"i remember when the love machine was first released to theaters. i was a mere 13 years old, too young to see the much ballyhooed motion picture release, but not too old to take my mom's paperback copy of the jacqueline susann novel to school and pore over the 'naughty bits' with my schoolmates.though i'm not sure what my problem was at such an early age, but i was very much into the book. i bought and wore an ankh ring just like on the paperback cover, and i remember the ads for the perfume, xanadu that was cross promoted and featured clumsily in the film. despite such an interest i didn't actually see the film until several years later. i should have left things as they were. the love machine is hands down the worst of the many bad films adapted from susann's novels...which of course makes it the most fun to watch. its faults are many from its hopscotching script that jumps choppily from one incident to another with nary a connecting thread its dated, horny brass instruments, i mean music score of ersatz bacharach the flat, first take performances the boring sexuality i've never seen bathrobes featured so prominently in a movie before. it's like a fetish! whenever sex, nudity or something sleazy is called for, out pops somebody in a blue robe! very odd, that and most certainly, the circus train of awful 70's fashions that are on endless display. poor dyan cannon's performance which is no great shakes anyway, but heads over the rest of the cast is consistently undermined by the jaw dropping get ups she's called upon to wear. however, the film's chief liability is the stoic, stone like john philip law as appropriately enough robin stone, the object of every girl's and one over the top flaming male photographer's affection.law is just awful and performs as if he were pulled off the street, handed the pages of the script in hurry and told to give a cold reading on the spot. just lifeless! not only that, but he appears in desperate need of a blood transfusion or something. he looks wan and sickly throughout and is several pounds smaller than most of his female costars. robin stone should be a hunk, not a hankie.for anyone finding the film hard going it's rather slow by today's standards i beg you to stick around for the climactic fight scene. here ms. cannon balancing 23 pounds of teased hair finally abandons her heretofore starchy acting style and lets loose with that infectiously raucous laugh of hers, setting in motion a truly memorable free for all that should have become a cinema clip highlight by now. trying to rival valley of the dolls 's infamous wig down the toilet scene, the love machine finally does something right.jacqueline susann's unique brand of trash is sorely missed. perhaps someone out there owns the rights to rona barrett's the lovomaniacs and will revive the genre.",0
"my girls loved these on our long car ride! we were going from nj to ca and it was such a quick, easy, mess free, and healthy road snack. i would 100 purchase them again.",1
